carrier_id,origin_id,event_type,destination_id,start_time,processing_time,end_time,task_id,details
1,,TRANSPORT,1,00:00:00,0.0,00:00:00,1,
2,,TRANSPORT,1,00:00:00,0.0,00:00:00,1,
3,,TRANSPORT,1,00:00:00,0.0,00:00:00,1,
4,,TRANSPORT,1,00:00:00,0.0,00:00:00,1,
1,1,PROCESSING,1,00:00:00,5.0,00:00:05,1,Inbound
2,1,QUEUE,1,00:00:00,5.0,00:00:05,1,
2,1,PROCESSING,1,00:00:05,5.0,00:00:10,1,Inbound
1,1,TRANSPORT,6,00:00:05,9.3,00:00:14,2,
3,1,QUEUE,1,00:00:00,14.3,00:00:14,1,
1,6,TRANSPORT,5,00:00:14,3.0,00:00:17,2,
1,5,PROCESSING,5,00:00:17,0.0,00:00:17,2,Inspection
3,1,PROCESSING,1,00:00:14,5.0,00:00:19,1,Inbound
4,1,QUEUE,1,00:00:00,19.3,00:00:19,1,
1,5,TRANSPORT,2,00:00:17,5.2,00:00:22,3,
2,1,TRANSPORT,6,00:00:14,9.3,00:00:23,2,
4,1,PROCESSING,1,00:00:19,5.0,00:00:24,1,Inbound
2,6,TRANSPORT,5,00:00:23,3.0,00:00:26,2,
2,5,PROCESSING,5,00:00:26,0.0,00:00:26,2,Inspection
3,1,TRANSPORT,6,00:00:19,9.3,00:00:28,2,
5,,TRANSPORT,1,00:00:28,0.0,00:00:28,1,
3,6,TRANSPORT,5,00:00:28,3.0,00:00:31,2,
3,5,PROCESSING,5,00:00:31,0.0,00:00:31,2,Inspection
5,1,PROCESSING,1,00:00:28,5.0,00:00:33,1,Inbound
6,,TRANSPORT,1,00:00:33,0.0,00:00:33,1,
2,5,TRANSPORT,3,00:00:26,8.2,00:00:34,3,
3,5,TRANSPORT,2,00:00:31,5.2,00:00:36,3,
1,2,PROCESSING,2,00:00:23,13.84,00:00:37,3,Cover Screws
3,2,QUEUE,2,00:00:36,0.54,00:00:37,3,
4,1,TRANSPORT,6,00:00:28,9.3,00:00:37,2,
6,1,PROCESSING,1,00:00:33,5.0,00:00:38,1,Inbound
