carrier_id,origin_id,event_type,destination_id,start_time,processing_time,end_time,task_id,details
1,,TRANSPORT,1,00:00:00,0.0,00:00:00,1,
2,,TRANSPORT,1,00:00:00,0.0,00:00:00,1,
3,,TRANSPORT,1,00:00:00,0.0,00:00:00,1,
1,1,PROCESSING,1,00:00:00,5.0,00:00:05,1,Inbound
2,1,PROCESSING,1,00:00:05,5.0,00:00:10,1,Inbound
3,1,PROCESSING,1,00:00:10,5.0,00:00:15,1,Inbound
1,1,TRANSPORT,5,00:00:05,12.3,00:00:17,2,
1,5,PROCESSING,5,00:00:17,0.0,00:00:17,2,Identification
2,1,TRANSPORT,5,00:00:10,12.3,00:00:22,2,
2,5,PROCESSING,5,00:00:22,0.0,00:00:22,2,Identification
1,5,TRANSPORT,2,00:00:17,5.2,00:00:22,3,
3,1,TRANSPORT,5,00:00:15,12.3,00:00:27,2,
3,5,PROCESSING,5,00:00:27,0.0,00:00:27,2,Identification
2,5,TRANSPORT,3,00:00:22,8.2,00:00:30,3,
3,5,TRANSPORT,2,00:00:27,5.2,00:00:32,3,
1,2,PROCESSING,2,00:00:22,13.84,00:00:36,3,Cover Screws
3,2,QUEUE,2,00:00:32,3.84,00:00:36,3,
2,3,PROCESSING,3,00:00:30,13.84,00:00:44,3,Cover Screws (Task Failure occurred)
3,2,PROCESSING,2,00:00:36,13.84,00:00:50,3,Cover Screws (Task Failure occurred)
1,2,TRANSPORT,1,00:00:36,17.5,00:00:53,4,
1,1,PROCESSING,1,00:00:53,2.0,00:00:55,4,Flip Product
2,3,TRANSPORT,1,00:00:44,16.5,00:01:00,3,
3,2,TRANSPORT,1,00:00:50,20.5,00:01:10,3,
1,1,TRANSPORT,4,00:00:55,26.0,00:01:21,5,
1,4,PROCESSING,4,00:01:21,2.07,00:01:23,5,Cover Removal
2,1,PROCESSING,1,00:01:00,31.5,00:01:32,3,Cover Screws
3,1,QUEUE,1,00:01:10,21.66,00:01:32,3,
1,4,TRANSPORT,5,00:01:23,16.7,00:01:40,6,
